{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_QCDPtoFs[i]} {best_TTBar_Effs[i]}
1600 800 0.0 0.0 nan nan nan nan nan
1800 400 0.995 145.06051718863878 0.051297416686706114 0.0 0.0 0.0 0.0
1800 500 0.975 23.204808592456892 0.17789382004590107 0.0 0.0 0.0 0.0
1600 200 0.99 4746.923768508266 0.21664185871892372 8.64358138056968e-05 0.00013023132160716843 0.00013024828401333256 2.2648702824190804e-05
1000 500 0.8250000000000001 0.0 nan 0.0 0.0 0.0 nan
1600 1400 0.0 0.0 nan nan nan nan nan
500 150 0.0 0.0 nan 0.0 0.0 0.0 0.0
1800 60 0.985 12792.659702403722 0.3963383417081796 0.00013795848687993506 0.00014324189983549784 0.00014326242101685935 0.0
1600 400 0.995 18.418479676626447 0.02372773309573757 0.0 0.0 0.0 0.0
650 100 0.535 0.0 nan 0.0 0.0 0.0 0.0
650 200 0.925 0.0 nan 0.0 0.0 0.0 0.0
600 100 0.535 0.0 nan 0.0 0.0 0.0 0.0
2000 800 0.0 0.0 nan 0.0 0.0 0.0 nan
1600 100 0.985 5698.1258854559965 0.2273983380762864 0.0001405955988752955 0.00014897452193122511 0.00014899671864615475 3.536023075995784e-05
1000 300 0.845 7.025044827567115 0.41084849470014595 0.0022251606251988336 8.844554284160275e-05 8.845336614758782e-05 0.008870279599784363
1800 300 0.995 1932.998310779728 0.06599682568700435 0.0 0.0 0.0 0.0
1800 600 0.93 5.015586414216962 0.49080191475811913 0.0 0.0 0.0 0.0
1800 70 0.985 12167.970091296844 0.3817991986976893 0.00012964031160000446 0.00013518512976943393 0.00013520340725958958 0.0
1600 70 0.985 9321.348648360407 0.3829616470155688 0.00014458662944432884 0.0001514460917824907 0.00015146903117528826 0.0
1600 60 0.985 9732.823226667044 0.39604262101908694 0.00015372408263515284 0.00016028508386887777 0.00016031077929558226 0.0
